,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
crafting,0.6835428009027559,0.6659046122908989,0.40165592961270846,0.7318347774666869,0.36056496732107113,0.9941216163808573,0.8452837682067055,0.5641269447351847,0.9535634925359855,0.9522160714322699,0.0,0.9999971996355226,0.9995696748248819,0.6412224254246507,0.9989345203467079,0.6293221330326455,0.7891867859985378,0.9955256564942392,0.6339754782147919,0.7099876468864098,0.9360837736572629,0.9801951209569029,1.0,0.7857503258521374,0.999983595468671,0.9991401333727649,0.9998960462478962,0.999989555375527,0.9593346072623133,0.5223575005068042,0.9998550847652677,0.8032631644978517,0.5068437035208065,0.9829412281026415,0.7278561778896145,0.658877323116154,0.999557702250154,0.8270125854075238,0.8413580379816705,0.9984271637625335,0.39985181407743364,0.7914505978664814,0.8459508203661987,0.6561112145537447,0.9913295694447217,0.968889372269307,0.18596989813018472,0.966372678256445,0.947087730680093,0.9911901605465836,0.992490304881283,0.8844930617946648,0.9941827262744237,0.5840158183802782,0.9999996838728042
crime,0.9997059650009763,0.4217065075606493,0.5209867832193716,0.4561893885886108,0.9999664377504416,0.999742384229401,1.0,0.5414558534110481,0.45781380321921716,0.9999991479383087,0.9999971996355226,0.0,0.9999972565024969,1.0,0.989014372887496,0.9999863672669776,0.9441341081490906,0.999994921325056,0.38564844865920966,0.9990521510960092,0.5314499791365601,0.4758118846962782,0.718225867207393,0.9995620372856947,1.0,0.17573527519525078,0.9999880313135288,1.0,0.6245648917487701,0.5607014650751843,0.9999709111119465,0.9077552262718849,0.365154495535557,0.9961427318113724,0.999760581534251,0.9999989679444691,0.9998552103563311,0.9991835075685586,0.7683098102698448,0.14124033335794917,0.6404914158331113,0.5555394042611903,0.9761164860369668,0.5066309958412802,0.9892464704176952,0.9638210881671521,0.9999947782532961,0.940846722235955,0.9386598969098774,0.15349688510574178,0.24444338963198153,1.0,0.9999989029479477,0.9997735785411579,1.0
dark_fantasy,0.987240569299555,0.8708499630112926,0.8074414672422572,0.6435703414486018,0.9996228021649798,0.8453136828272005,0.9999686590270298,0.8882110574486319,0.999864175675342,0.9999152962982188,0.9995696748248819,0.9999972565024969,0.0,0.999933419210927,1.0,0.7274858242626756,0.9995411747863059,0.6802527908309584,0.9984736673584627,0.9949614272624633,0.9995161130133636,0.8118242836216005,1.0,0.9593248943391405,0.9999903488515627,0.8488560892513384,0.9999956132338448,1.0,0.9988393404855477,0.9396761057292842,0.8646745881351744,0.9960166217082514,0.8764230956621406,0.9997465828066664,0.9993849914522758,0.9989837273281288,0.9988132980505393,0.8403935471091434,0.5486956929953897,0.9999970810461454,0.983806442577735,0.9998536250110198,0.9997060183961403,0.8627839401257591,0.696783966885252,0.9913032845443782,0.9993856678521325,0.9978719572063357,0.9999921886569133,0.7610275361683655,0.99990526069034,1.0,0.9964344256444159,0.9997897112699341,0.999992213065961
dinosaurs,0.9999330980475434,0.8829303589480647,0.7738975246293961,0.9994890114390286,0.5955342894161357,1.0,0.9996923322962529,0.8098197920126737,0.9995735238606294,0.9999922056538042,0.6412224254246507,1.0,0.999933419210927,0.0,1.0,0.9967399154448767,0.9958498294157981,0.9997759535152584,0.8523966706827047,0.996410651649157,0.9995296545130186,0.9997354667672278,1.0,0.9996610205862136,1.0,1.0,1.0,1.0,1.0,0.8233961261133249,1.0,0.996363301415608,0.8020851806655311,0.9999919702142858,0.9996980716259781,0.9999985849422383,1.0,0.9947538674298886,0.8760833238186512,0.9999499384162572,0.8439703203453334,0.9973908278768576,0.9961128706852944,0.8517648797268244,0.9999416603682235,0.9946298032144947,0.6967980326449543,0.9999583257680904,0.9979156679696319,0.9982900190589454,0.9984916025274443,1.0,0.9994537421041356,0.9999816409171927,1.0
driving,0.999919338172036,0.9580431450727488,0.9327320362685799,0.9098358064496385,0.9937210409942883,0.999994877456812,1.0,0.9884943790490188,0.996078660124619,0.9998169450576087,0.9989345203467079,0.989014372887496,1.0,1.0,0.0,0.8325012030889547,0.9997750368550081,1.0,0.9266290100820445,0.9966558126350465,0.9854852780435952,0.9900278455846516,1.0,0.999993092943907,0.9999790446039839,0.9950459691499727,1.0,0.9970907305074393,0.8037741356368868,0.9709287269920273,0.9999955903532369,0.9896940307800238,0.8707277531642865,0.9054712978038941,0.999978808085185,0.9923533482177365,1.0,0.9991624452744021,0.9656566487198177,0.8380223064594727,0.9446603875447617,0.9928127895722074,0.42634165366855115,0.8592784998411952,0.9897620109828049,0.996583878587911,0.9958282901569385,1.0,0.998758142186591,0.9710870412337627,0.9857400826627847,1.0,0.9977830243619278,0.9998118001953518,0.9999680917253232
exploration,0.6424196033882732,0.7898651741544896,0.513931717266334,0.5227286684082626,0.7141427023339633,0.9962454378370491,0.9999931094034213,0.8488113905942088,0.9759718574966082,0.999982121215843,0.6293221330326455,0.9999863672669776,0.7274858242626756,0.9967399154448767,0.8325012030889547,0.0,0.9166288823448338,0.9378702945180398,0.7705238901938406,0.9923844358707273,0.9697049290831675,0.8216863464513111,0.998636499195362,0.7968911040353628,0.9999988826195992,0.996999055681209,0.9999772835658798,0.9998670476953195,0.920267269101339,0.8619440231854072,0.9923997647366645,0.9068443177451135,0.6291297668305238,0.9589994078680854,0.7112950592927874,0.6125676892203228,0.9936840332097452,0.9446473531904188,0.6381208657460188,0.9853077949364513,0.608985455415959,0.9101855966937369,0.7993502699395179,0.5768742541748964,0.7650135726265576,0.9819419539143202,0.6752380365616435,0.9989149395046265,0.99959229633053,0.8392225365721132,0.9084983223223363,0.9968514478258421,0.9991226614422216,0.9742849537581957,0.999999319741531
fps,0.999988581938129,0.3241830139180347,0.7819161823308632,0.834941660280884,0.8613559158513404,0.9999608928313563,0.6615185055656494,0.3732284828058401,0.7965716716019628,0.21569255326326453,0.7891867859985378,0.9441341081490906,0.9995411747863059,0.9958498294157981,0.9997750368550081,0.9166288823448338,0.0,0.9888435887146291,0.3644456636547613,0.7144419059898881,0.7391143455673601,0.9121161669849022,0.8036475491791053,0.8929312460105123,0.9900186266814824,0.9977595918412608,0.3210314811585331,0.8210960266278384,0.567050010559488,0.27645182318289296,0.9976871066077386,0.23546765280964455,0.8245976076757964,0.8444244893081545,0.9974376034197906,0.7511814438266688,0.988328204034774,0.3563068571103515,0.9184833769536656,0.9989092760608776,0.7772977118077548,0.13266720562514334,0.8336292938341414,0.7639396017605337,0.9259558029626253,0.6103778415469283,0.7330813027118084,0.16029345387808125,0.18210504948498585,0.9646698399133586,0.8971413222125204,0.2581589393005361,0.3487501974101018,0.7316863636311044,0.3514694945199809
fantasy,0.9708480345623381,0.7846432242661949,0.6741446509002226,0.7004280108475716,0.9964930048682547,0.7899466158778246,0.9997221517110508,0.9335637946290669,0.9852991163162511,0.9125342135669544,0.9955256564942392,0.999994921325056,0.6802527908309584,0.9997759535152584,1.0,0.9378702945180398,0.9888435887146291,0.0,0.8779173437979501,0.7890133777626033,0.9836847518098213,0.7459847573292453,0.9994009283371345,0.9962841890306653,0.7067531959885758,0.7969365863154911,0.9966888515203425,0.999988748771833,0.7299994218004207,0.9098945853047037,0.8195503166033602,0.8874545404009043,0.7242044451708547,0.9977365106190679,0.9917589225593741,0.9982372739127,0.9980723967369489,0.9034370007700816,0.3331217456522516,0.9998195384759269,0.897646646716264,0.9912147966653572,0.9660478641765337,0.7405435810894418,0.617782685789291,0.7954025680185847,0.9952326863839234,0.9929930764783934,0.8908631254556527,0.8038192800217087,0.9991637270295589,0.9999876795726248,0.9918031888912671,0.9988613768674705,0.8597449813241591
first_person,0.9992935905795133,0.14918399209309252,0.3062520702043203,0.3672804467987911,0.7220514206186142,0.9973989102434826,0.7925058417696661,0.2526288234578862,0.43252807939828153,0.5783954291315958,0.6339754782147919,0.38564844865920966,0.9984736673584627,0.8523966706827047,0.9266290100820445,0.7705238901938406,0.3644456636547613,0.8779173437979501,0.0,0.7525173524679307,0.45677914102360406,0.5852705614113718,0.858948292695946,0.7604468538257446,0.992925603869975,0.46926727804329404,0.6513943643578568,0.7465746224812914,0.3389977634738365,0.1894636296471075,0.9891941016036818,0.49524082236439726,0.29301692091888143,0.7817832391754762,0.9995747109900862,0.6900714906506801,0.9023184896704333,0.6435202660839188,0.6884347680260265,0.4397389408181652,0.39689214121834826,0.1792933242649455,0.7697422952628141,0.30323099111346996,0.8491461377192557,0.7611190805104644,0.6177685736425206,0.5382957368402468,0.5465498740376226,0.41458060457900314,0.45798964442838974,0.5901981139192357,0.6563638230939769,0.7214779101169508,0.6618176784979903
free_to_play,0.9873766933078313,0.5962905212164598,0.8086205641158024,0.8952149037569124,0.9725308905212766,0.9928701588887947,0.5411243029817672,0.60569665429741,0.8753274624294352,0.6568106228659677,0.7099876468864098,0.9990521510960092,0.9949614272624633,0.996410651649157,0.9966558126350465,0.9923844358707273,0.7144419059898881,0.7890133777626033,0.7525173524679307,0.0,0.8223132572205472,0.9793220039657646,0.9998708083016966,0.9466656661915704,0.3390382682223164,0.9903321916322017,0.9629259962209151,0.988904632604443,0.9052193775274595,0.5050747669046296,0.9944744038209693,0.5913602213233219,0.845761464822909,0.9981807789972579,0.9871288931613632,0.7679730713525205,0.915722416244324,0.7815600246280079,0.862704067603115,0.9927882929028751,0.8667870890195195,0.6804672317649033,0.9042614089177948,0.8507057994979045,0.9745089534850118,0.5829714146113043,0.7829145068723709,0.8827423051329941,0.5903235760985803,0.9624880063460595,0.9022501851020048,0.6603334692334291,0.9154927462490283,0.6808837812138036,0.6757962433941217
