,appid,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
45,1930,0,41,47,0,0,0,0,0,0,0,0,0,8,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,50,0,0,102,0,0,0,0,0,149,0,0,0,0,46,19,0,0,0,0,55,0,0,0,0,0
46,2100,0,331,175,69,0,0,0,0,0,0,0,0,159,0,0,0,27,266,322,0,0,0,0,0,0,0,0,0,0,47,107,0,0,0,0,0,0,0,348,0,0,0,0,86,87,0,0,0,0,0,0,0,0,0,0
47,2200,0,127,0,10,0,0,0,0,0,72,0,0,0,0,0,0,161,0,50,0,0,0,0,0,0,0,0,0,29,96,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,21
48,2210,0,101,7,26,0,0,0,0,0,0,0,0,0,0,0,0,112,0,36,0,0,0,0,54,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,66,0,49,0,0,0,0,0,0,0,0,0,0,0
49,2270,0,120,7,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,61,0,0,6,0,0,0,0,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,58,0,72,0,0,0,0,0,0,0,0,0,0,0
50,2280,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,80,0,0,130,0,0,0,0,0,0,110,59,0,0,0,0,0,0,0,0,0,0,0,89,0,99,0,0,0,0,0,0,0,0,0,0,0
51,2290,0,93,0,12,0,0,0,0,0,0,0,0,0,0,0,0,95,0,43,0,0,28,0,14,0,0,0,0,36,31,0,14,0,0,0,0,0,0,0,0,0,54,0,47,0,0,0,0,0,0,0,0,0,25,0
52,2300,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,69,0,0,51,0,47,0,0,0,0,89,66,0,41,0,0,49,0,0,0,0,0,0,102,0,59,0,0,0,0,0,0,0,0,0,52,0
53,2310,0,178,0,46,0,0,0,0,0,30,0,0,0,0,0,0,235,0,72,0,0,67,0,63,0,0,0,0,63,109,0,0,0,0,0,0,0,0,0,0,0,136,0,108,0,0,0,0,0,0,0,0,0,0,0
54,2320,0,115,0,15,0,0,0,19,0,0,0,0,0,0,0,0,115,0,38,0,0,57,0,13,0,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,0,58,0,54,0,0,0,0,0,0,0,0,0,0,0
55,2330,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2340,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2350,0,41,0,0,0,0,0,0,0,20,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2360,0,44,0,0,0,0,15,0,0,0,0,0,24,0,0,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0
